Vernier Format 2
3.txt 5/5/2018 10:33:33
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

124.0	19.87	
124.1	19.87	
124.2	19.88	
124.3	19.87	
124.4	19.87	
124.5	19.87	
124.6	19.87	
124.7	19.87	
124.8	19.87	
124.9	19.87	
125.0	19.87	
125.1	19.87	
125.2	19.87	
125.3	19.87	
125.4	19.87	
125.5	19.87	
125.6	19.87	
125.7	19.87	
125.8	19.87	
125.9	19.87	
126.0	19.87	
126.1	19.87	
126.2	19.86	
126.3	19.87	
126.4	19.87	
126.5	19.86	
126.6	19.87	
126.7	19.87	
126.8	19.86	
126.9	19.86	
127.0	19.87	
127.1	19.87	
127.2	19.86	
127.3	19.87	
127.4	19.86	
127.5	19.86	
127.6	19.86	
127.7	19.86	
127.8	19.86	
127.9	19.86	
128.0	19.85	
128.1	19.86	
128.2	19.86	
128.3	19.86	
128.4	19.86	
128.5	19.86	
128.6	19.85	
128.7	19.86	
128.8	19.87	
128.9	19.85	
129.0	19.85	
129.1	19.86	
129.2	19.85	
129.3	19.84	
129.4	19.86	
129.5	19.85	
129.6	19.85	
129.7	19.86	
129.8	19.86	
129.9	19.86	
130.0	19.86	
130.1	19.86	
130.2	19.86	
130.3	19.85	
130.4	19.85	
130.5	19.86	
130.6	19.86	
130.7	19.84	
130.8	19.86	
130.9	19.86	
131.0	19.85	
131.1	19.87	
131.2	19.86	
131.3	19.86	
131.4	19.85	
131.5	19.86	
131.6	19.86	
131.7	19.86	
131.8	19.86	
131.9	19.86	
132.0	19.85	
132.1	19.85	
132.2	19.85	
132.3	19.86	
132.4	19.86	
132.5	19.86	
132.6	19.86	
132.7	19.86	
132.8	19.85	
132.9	19.86	
133.0	19.86	
133.1	19.86	
133.2	19.86	
133.3	19.85	
133.4	19.86	
133.5	19.86	
133.6	19.87	
133.7	19.87	
133.8	19.86	
133.9	19.86	
134.0	19.86	
134.1	19.86	
134.2	19.86	
134.3	19.86	
134.4	19.86	
134.5	19.86	
134.6	19.86	
134.7	19.86	
134.8	19.86	
