Vernier Format 2
1.txt 5/5/2018 10:31:59
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%
0.0 19.89
108.78	19.85
108.9	19.85
109.02	19.85
109.08	19.85
109.2	19.85
109.32	19.85
109.38	19.85
109.5	19.85
109.62	19.84
109.68	19.84
109.8	19.84
109.92	19.85
109.98	19.84
110.1	19.84
110.22	19.84
110.28	19.85
110.4	19.84
110.52	19.84
110.58	19.84
110.7	19.84
110.82	19.84
110.88	19.84
111.0	19.84
111.12	19.84
111.18	19.84
111.3	19.84
111.42	19.85
111.48	19.84
111.6	19.84
111.72	19.84
111.78	19.84
111.9	19.84
112.02	19.84
112.08	19.84
112.2	19.84
112.32	19.84
112.38	19.84
112.5	19.84
112.62	19.84
112.68	19.84
112.8	19.84
112.92	19.84
112.98	19.84
113.1	19.84
113.22	19.84
113.28	19.84
113.4	19.84
113.52	19.84
113.58	19.84
113.7	19.84
113.82	19.84
113.88	19.84
114.0	19.84
114.12	19.84
114.18	19.84
114.3	19.83
114.42	19.84
114.48	19.83
114.6	19.84
114.72	19.83
114.78	19.84
114.9	19.83
115.02	19.83
115.08	19.84
115.2	19.84
115.32	19.84
115.38	19.83
115.5	19.83
115.62	19.83
115.68	19.83
115.8	19.84
115.92	19.84
115.98	19.83
116.1	19.84
116.22	19.84
116.28	19.83
116.4	19.84
116.52	19.83
116.58	19.84
116.7	19.84
116.82	19.84
116.88	19.84
117.0	19.84
117.12	19.84
117.18	19.84
117.3	19.84
117.42	19.84
117.48	19.83
117.6	19.83
117.72	19.84
117.78	19.84
117.9	19.84
118.02	19.84
118.08	19.83
118.2	19.84
118.32	19.83
118.38	19.84
118.5	19.84
118.62	19.84
118.68	19.84
118.8	19.83
118.92	19.83
118.98	19.83
119.1	19.83
119.22	19.83
119.28	19.83
119.4	19.84
119.52	19.83
119.58	19.83
119.7	19.83
119.82	19.83
119.88	19.83
120.0	19.83
120.12	19.82
120.18	19.82
120.3	19.83
120.42	19.83
120.48	19.82
120.6	19.82
120.72	19.82
120.78	19.82
